feature,fold,repeat,delta_MAE,baseline_MAE
width,1,9,-0.0003243842495153637,0.09585961662677586
width,1,10,0.002499752368840577,0.09585961662677586
width,1,11,0.0021062886339439507,0.09585961662677586
width,1,12,-0.00034624165400545803,0.09585961662677586
width,1,13,0.002381691816956674,0.09585961662677586
width,1,14,0.0009399439523322672,0.09585961662677586
width,1,15,0.0005566764363740817,0.09585961662677586
width,1,16,0.003887354668199741,0.09585961662677586
width,1,17,-0.0008246607867764266,0.09585961662677586
width,1,18,0.0034024290830945852,0.09585961662677586
width,1,19,3.8361446478590855e-05,0.09585961662677586
width,1,20,0.001959844513630682,0.09585961662677586
width,1,21,8.807641787531018e-05,0.09585961662677586
width,1,22,-9.590019860727939e-07,0.09585961662677586
width,1,23,0.0032387233968706602,0.09585961662677586
width,1,24,0.00016172297233896238,0.09585961662677586
width,1,25,-0.0002818265496789124,0.09585961662677586
width,1,26,0.0009700961057508284,0.09585961662677586
width,1,27,-0.003717234323777685,0.09585961662677586
width,1,28,0.0026834868902822773,0.09585961662677586
width,1,29,0.0021258514519221228,0.09585961662677586
graph_depth,1,0,-0.00022162346413681644,0.09585961662677586
graph_depth,1,1,0.000643597159204784,0.09585961662677586
graph_depth,1,2,0.00048109627734557736,0.09585961662677586
graph_depth,1,3,0.0006279080464118431,0.09585961662677586
graph_depth,1,4,-0.00024340428782917978,0.09585961662677586
graph_depth,1,5,-0.00027599903072712817,0.09585961662677586
graph_depth,1,6,0.0004069204908197649,0.09585961662677586
graph_depth,1,7,-0.00016255827422734237,0.09585961662677586
graph_depth,1,8,-0.00031003197941216476,0.09585961662677586
graph_depth,1,9,-0.0005684990766756798,0.09585961662677586
graph_depth,1,10,-0.0009270265170982783,0.09585961662677586
graph_depth,1,11,-0.000490843206773256,0.09585961662677586
graph_depth,1,12,1.5764434268317196e-05,0.09585961662677586
graph_depth,1,13,-0.000830712130213504,0.09585961662677586
graph_depth,1,14,0.0003674330342407217,0.09585961662677586
graph_depth,1,15,0.0005533963100447931,0.09585961662677586
graph_depth,1,16,0.00031851121234935387,0.09585961662677586
graph_depth,1,17,0.000994107926298976,0.09585961662677586
graph_depth,1,18,0.0003728867789396656,0.09585961662677586
graph_depth,1,19,-0.00013789721784832065,0.09585961662677586
graph_depth,1,20,0.0007913120757699482,0.09585961662677586
graph_depth,1,21,0.0003216989226582645,0.09585961662677586
graph_depth,1,22,0.00044600779499393006,0.09585961662677586
graph_depth,1,23,0.0007374458383232751,0.09585961662677586
graph_depth,1,24,-0.0003092947218182318,0.09585961662677586
graph_depth,1,25,-0.00024340428782917978,0.09585961662677586
graph_depth,1,26,-0.0010264784402300164,0.09585961662677586
graph_depth,1,27,0.00047574044014236927,0.09585961662677586
graph_depth,1,28,0.0013938728075621187,0.09585961662677586
graph_depth,1,29,0.0007185079247754578,0.09585961662677586
temporal_modes,1,0,-0.0015310752313815318,0.09585961662677586
